state,county,Date,positive_pct,transmission_level,dose_1_pct,fully_pct,metro
Missouri,Worth County,2022-03-09,13.79,high,47.2,40.5,Non-metro
Minnesota,Yellow Medicine County,2022-03-09,2.34,high,59.7,56.3,Non-metro
Michigan,Roscommon County,2022-03-09,6.47,moderate,58.1,55.9,Non-metro
Minnesota,McLeod County,2022-03-09,3.47,substantial,61.6,57.6,Non-metro
Minnesota,Wright County,2022-03-09,3.12,substantial,57.4,54.5,Metro
Minnesota,Pipestone County,2022-03-09,3.33,moderate,58,54.2,Non-metro
Missouri,Sullivan County,2022-03-09,1.89,moderate,49.3,42.4,Non-metro
Ohio,Noble County,2022-03-09,9.89,substantial,45.5,42.9,Non-metro
Indiana,Montgomery County,2022-03-09,5.01,moderate,50,45.3,Non-metro
South Dakota,Lyman County,2022-03-09,0,low,84.9,64.3,Non-metro
Indiana,Howard County,2022-03-09,3.39,moderate,51.9,46.9,Metro
Minnesota,Scott County,2022-03-09,2.81,substantial,73.7,69.1,Metro
South Dakota,Gregory County,2022-03-09,5,moderate,58.4,49.9,Non-metro
South Dakota,Sanborn County,2022-03-09,3.6294571536429,low,65.8,54.9,Non-metro
Missouri,Scotland County,2022-03-09,5,moderate,30.2,26.1,Non-metro
Wisconsin,Kewaunee County,2022-03-09,2.08,low,54.6,51.8,Metro
North Dakota,Walsh County,2022-03-09,10.48,high,66.6,57.6,Non-metro
South Dakota,Hyde County,2022-03-09,3.6294571536429,low,64,53.8,Non-metro
South Dakota,Miner County,2022-03-09,3.6294571536429,high,64,54.3,Non-metro
South Dakota,Butte County,2022-03-09,4.08,moderate,47.2,39.5,Non-metro
Nebraska,Kearney County,2022-03-09,3.6294571536429,low,46.9,46.7,Non-metro
Wisconsin,Brown County,2022-03-09,2.14,moderate,69.1,64.4,Metro
Illinois,Wayne County,2022-03-09,4.1,substantial,42.4,39.2,Non-metro
Indiana,Putnam County,2022-03-09,12.29,high,46.5,42.2,Metro
Missouri,Cass County,2022-03-09,2.33,substantial,60.9,51.2,Metro
Missouri,Johnson County,2022-03-09,4.92,high,51.9,41.4,Non-metro
Kansas,Grant County,2022-03-09,0,moderate,52.3,47,Non-metro
Nebraska,Cherry County,2022-03-09,3.6294571536429,high,37.7,34.3,Non-metro
Michigan,Crawford County,2022-03-09,7.89,substantial,52.3,50.8,Non-metro
Wisconsin,Dane County,2022-03-09,3.82,substantial,89.2,82.2,Metro
Missouri,Platte County,2022-03-09,2.48,moderate,66.8,56.3,Metro
South Dakota,Fall River County,2022-03-09,7.02,moderate,71.2,61.6,Non-metro
Indiana,Tippecanoe County,2022-03-09,3.5,moderate,63.7,57,Metro
Wisconsin,Sauk County,2022-03-09,3.31,low,67.7,63.1,Non-metro
Indiana,Wayne County,2022-03-09,3.15,moderate,54.6,49.1,Non-metro
